0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:40 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:41 +0530] "GET /ShoppingCart/used.jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:11:14:43 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
